ISO	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
DZA	Algeria	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"135,170.13"	"136,560.70"	"143,974.02"	"164,726.36"	"189,986.41"	"230,162.84"	"254,913.97"	"276,238.60"	"319,265.23"	"282,636.54"	"333,302.68"	"397,336.38"	"432,313.64"	"434,705.07"	"440,471.44"	"418,203.99"	"428,900.97"	"452,438.82"	"480,349.01"	"470,438.01"	"423,349.99"	"495,094.11"	"536,242.80"	2019
DZA	Algeria	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,794.70"	"1,768.58"	"1,806.86"	"2,128.39"	"2,636.48"	"3,141.03"	"3,508.96"	"3,986.56"	"4,943.50"	"3,890.52"	"4,480.72"	"5,447.60"	"5,575.65"	"5,477.06"	"5,466.33"	"4,153.32"	"3,918.94"	"4,079.65"	"4,118.74"	"3,939.54"	"3,337.32"	"3,638.33"	"3,672.46"	2019
DZA	Algeria	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 09/2021	95.969	100	101.433	105.755	109.952	111.472	114.048	118.244	123.985	131.103	136.23	142.36	155.053	160.1	164.77	172.653	183.699	193.97	202.253	206.2	211.18	224.845	241.869	2020
DZA	Algeria	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	0.3	4.2	1.433	4.261	3.968	1.382	2.311	3.679	4.855	5.741	3.911	4.5	8.916	3.255	2.917	4.784	6.398	5.591	4.27	1.952	2.415	6.471	7.571	2020
DZA	Algeria	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Algerian dinar Data last updated: 09/2021	29.496	27.306	25.664	23.716	17.656	15.265	12.512	13.793	11.343	10.167	9.961	9.971	10.969	9.829	10.6	11.214	10.498	11.709	11.731	11.383	13.956	14.071	14.733	2019
AND	Andorra	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"37,022.48"	"37,367.71"	"35,578.00"	"34,367.26"	"34,897.12"	"35,054.23"	"35,795.91"	"35,507.66"	"35,775.50"	"36,346.54"	"32,142.40"	"33,725.83"	"35,085.73"	2020
AND	Andorra	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"49,030.23"	"51,957.31"	"45,713.97"	"45,630.20"	"46,299.28"	"38,877.49"	"39,595.32"	"40,017.74"	"42,229.90"	"40,688.49"	"36,630.55"	"40,417.27"	"42,713.08"	2020
AND	Andorra	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2017 Primary domestic currency: Euro Data last updated: 07/2021	n/a	75.028	77.375	79.741	82.056	84.951	88.081	90.423	94.353	93.204	94.798	97.215	98.642	99.108	99.013	97.891	97.477	100.001	101.285	102.036	102.298	104.035	105.588	2020
AND	Andorra	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	n/a	n/a	3.129	3.058	2.903	3.528	3.684	2.659	4.345	-1.217	1.71	2.55	1.468	0.472	-0.096	-1.133	-0.423	2.59	1.284	0.742	0.257	1.698	1.493	2020
AND	Andorra	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Euro Data last updated: 07/2021	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.225	3.975	6.175	6.325	5.8	3.575	3.025	1.725	1.525	1.775	2.85	3.1	2.2	2020
AGO	Angola	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"6,547.54"	"13,669.18"	"36,627.17"	"71,022.89"	"102,090.71"	"162,327.27"	"205,891.69"	"237,719.03"	"306,262.73"	"249,630.00"	"334,669.57"	"443,020.06"	"500,731.60"	"524,723.13"	"553,023.40"	"522,854.87"	"601,736.74"	"713,454.65"	"876,160.79"	"1,023,431.73"	"1,087,817.27"	"1,443,713.02"	"1,611,116.06"	2017
AGO	Angola	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	652.11	619.697	841.42	951.969	"1,222.04"	"1,862.42"	"2,561.86"	"3,099.09"	"4,081.69"	"3,146.80"	"3,641.44"	"4,716.25"	"5,245.02"	"5,436.52"	"5,625.74"	"4,354.92"	"3,676.83"	"4,300.10"	"3,465.06"	"2,805.26"	"1,881.20"	"2,200.68"	"2,276.75"	2017
AGO	Angola	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: National Statistics Office Latest actual data: 2020 Notes: Historical consumer price index (CPI) and inflation are measured by Angola's national CPI (IPCN) from January 2015 and by the Luanda province CPI up to December 2014. Harmonized prices: No Frequency of source data: Monthly Base year: 2010. Although the base year is reported as 2010, we are currently using December 2010 (=100) as the base month. Primary domestic currency: Angolan kwanza Data last updated: 09/2021"	2.707	6.838	14.284	28.313	40.637	49.968	56.616	63.551	71.472	81.278	93.047	105.594	116.454	126.681	135.927	148.377	193.92	251.795	301.218	352.664	431.227	536.393	616.158	2020
AGO	Angola	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	325.029	152.586	108.893	98.219	43.525	22.961	13.305	12.249	12.465	13.721	14.48	13.484	10.285	8.782	7.298	9.159	30.694	29.844	19.629	17.079	22.277	24.387	14.871	2020
AGO	Angola	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
ATG	Antigua and Barbuda	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"29,514.54"	"28,110.84"	"28,293.16"	"29,435.62"	"31,274.75"	"34,413.68"	"38,529.31"	"43,224.85"	"44,630.85"	"39,586.09"	"36,624.63"	"35,897.48"	"37,289.92"	"36,159.00"	"37,670.37"	"39,681.61"	"42,001.23"	"42,269.11"	"45,524.58"	"47,119.20"	"37,711.78"	"38,118.18"	"41,030.11"	2011
ATG	Antigua and Barbuda	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"10,931.31"	"10,411.42"	"10,478.95"	"10,902.08"	"11,583.24"	"12,745.81"	"14,270.11"	"16,009.20"	"16,529.95"	"14,661.52"	"13,564.68"	"13,295.36"	"13,811.08"	"13,392.22"	"13,951.99"	"14,696.89"	"15,556.01"	"15,655.23"	"16,860.96"	"17,451.55"	"13,967.33"	"14,117.84"	"15,196.34"	2011
ATG	Antigua and Barbuda	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: Central Bank Latest actual data: 2020. Latest data June 2021 Harmonized prices: No Frequency of source data: Monthly Base year: 2019. CPI Index = 100 in January 2019. Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021	70.597	71.963	73.696	75.165	76.691	78.3	79.7	80.829	85.14	84.672	87.525	90.551	93.608	94.6	95.631	96.557	96.085	98.422	99.614	101.04	102.109	103.726	105.845	2020
ATG	Antigua and Barbuda	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	-0.162	1.935	2.408	1.994	2.03	2.099	1.788	1.416	5.334	-0.55	3.37	3.457	3.377	1.059	1.089	0.969	-0.489	2.432	1.211	1.431	1.058	1.584	2.043	2020
ATG	Antigua and Barbuda	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
ARG	Argentina	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"8,638.54"	"8,085.36"	"9,315.73"	"11,098.37"	"12,690.70"	"15,094.73"	"18,370.36"	"22,791.23"	"28,925.11"	"31,093.74"	"40,739.99"	"52,810.12"	"63,208.89"	"79,338.29"	"107,315.21"	"138,053.32"	"188,760.96"	"242,031.43"	"331,385.00"	"485,155.34"	"605,476.78"	"950,141.56"	"1,347,057.99"	2019
ARG	Argentina	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"8,638.54"	"8,085.36"	"2,997.62"	"3,761.09"	"4,314.10"	"5,163.55"	"5,976.08"	"7,315.73"	"9,146.79"	"8,337.81"	"10,412.97"	"12,787.81"	"13,889.79"	"14,488.83"	"13,208.83"	"14,895.32"	"12,772.87"	"14,618.33"	"11,786.43"	"10,054.02"	"8,571.94"	"9,929.15"	"10,448.39"	2019
ARG	Argentina	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: National Statistics Office Latest actual data: 2020 Notes: Inflation variables are excluded from publication for 2021-26 as these are to a large extent linked to still-pending program negotiations. The official national consumer price index (CPI) for Argentina starts in December 2016. For earlier periods, CPI data for Argentina reflect the Greater Buenos Aires Area CPI (prior to December 2013), the national CPI (IPCNu, December 2013 to October 2015), the City of Buenos Aires CPI (November 2015 to April 2016), and the Greater Buenos Aires Area CPI (May 2016 to December 2016). Given limited comparability of these series on account of differences in geographical coverage, weights, sampling, and methodology, the average CPI inflation for 2014-16 and end-of-period inflation for 2015-16 are not reported in the October 2021 World Economic Outlook Harmonized prices: No Frequency of source data: Monthly Base year: FY2013/14. The actual data are for calendar year the official index we are using for the WEO submission had the base year of Oct13-Sep14, hence the 2013/14 notation. Primary domestic currency: Argentine peso Data last updated: 09/2021"	26.153	25.875	32.568	36.946	38.577	42.297	46.907	51.049	55.431	58.907	65.069	71.43	78.603	86.95	n/a	n/a	168.27	211.473	283.959	436.015	619.207	n/a	n/a	2020
ARG	Argentina	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	-0.939	-1.065	25.869	13.443	4.416	9.642	10.898	8.83	8.585	6.27	10.461	9.775	10.043	10.619	n/a	n/a	n/a	25.675	34.277	53.548	42.015	n/a	n/a	2020
ARG	Argentina	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		"Source: National Statistics Office. Since 1972 to 2002, the data are compiled two times a year for each district, in May and October.Since 2003 to the present, the survey is developed throughout all weeks of the year each of the 31 urban groups. The elaborated data base gathers quarterly information, that is to say 4 yearly estimations are issued; January-February-March /April-May-June / July-August-September / October-November-December.The data relate to the employment status of respondents during the reference week, which is the previous week before the date of the appointment. Latest actual data: 2020 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 09/2021"	17.134	19.209	22.45	17.25	13.625	11.575	10.175	8.475	7.875	8.675	7.75	7.15	7.2	7.075	7.25	6.533	8.467	8.35	9.2	9.825	11.55	9.985	9.21	2020
ARM	Armenia	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"334,850.10"	"384,273.46"	"446,712.03"	"534,421.94"	"629,684.96"	"745,143.16"	"885,396.60"	"1,053,272.04"	"1,197,391.81"	"1,057,794.95"	"1,166,485.13"	"1,272,899.58"	"1,436,518.69"	"1,528,737.65"	"1,617,513.75"	"1,686,586.15"	"1,693,240.34"	"1,867,598.10"	"2,026,599.62"	"2,208,539.41"	"2,086,839.12"	"2,373,433.95"	"2,622,421.43"	2020
ARM	Armenia	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	620.638	692.287	779.122	923.387	"1,180.40"	"1,628.06"	"2,128.15"	"3,079.03"	"3,913.44"	"2,911.76"	"3,121.78"	"3,417.17"	"3,575.53"	"3,732.04"	"3,889.00"	"3,529.03"	"3,524.00"	"3,868.91"	"4,195.96"	"4,596.86"	"4,267.49"	"4,594.91"	"5,083.22"	2020
ARM	Armenia	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 1995. Core CPI base year is 1997=100 Primary domestic currency: Armenian dram Data last updated: 09/2021	146.837	151.457	154.167	161.171	170.725	171.95	177.853	185.951	202.72	209.903	225.171	242.403	248.56	262.946	270.783	280.885	276.935	279.632	286.681	290.817	294.395	314.848	333.038	2020
ARM	Armenia	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	-0.791	3.146	1.79	4.543	5.928	0.717	3.433	4.553	9.018	3.544	7.274	7.653	2.54	5.788	2.981	3.731	-1.406	0.974	2.521	1.443	1.23	6.947	5.778	2020
ARM	Armenia	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: ILO Latest actual data: 2020 Employment type: National definition Primary domestic currency: Armenian dram Data last updated: 09/2021	n/a	38.4	35.3	31.2	31.6	31.2	27.8	28.7	16.4	18.7	19	18.4	17.3	16.2	17.6	18.5	18	17.8	19	18.3	18	18.5	18.25	2020
ABW	Aruba	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"37,019.03"	"37,124.84"	"38,139.97"	"39,289.58"	"42,424.13"	"43,268.03"	"44,473.73"	"47,858.47"	"50,428.22"	"44,991.24"	"43,111.93"	"45,925.82"	"44,762.11"	"45,898.79"	"46,331.67"	"48,556.65"	"48,396.10"	"49,936.38"	"51,423.01"	"52,814.57"	"40,245.44"	"46,004.55"	"50,039.87"	2019
